Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
39,,,593026.439,4139657.007,327.764,node pt name -2,-79.94897586,37.39902274,327.764,Global,0.016,0.012,0.024,0.020,2.134,m,FIX,RTK,2026-05-28 13:53:13.6 UTC-04:00,2026-05-28 13:53:23.6 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,71.776,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
40,,,593026.832,4139658.942,327.971,node pt name -2,-79.94897118,37.39904014,327.971,Global,0.011,0.014,0.024,0.018,2.134,m,FIX,RTK,2026-05-28 13:53:50.6 UTC-04:00,2026-05-28 13:54:00.6 UTC-04:00,51,1.8,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,73.731,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
41,,,593027.204,4139660.912,328.029,node pt name -2,-79.94896673,37.39905786,328.029,Global,0.012,0.012,0.017,0.017,2.134,m,FIX,RTK,2026-05-28 13:54:24.0 UTC-04:00,2026-05-28 13:54:34.0 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,75.708,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
42,,,593027.941,4139664.839,328.422,"node pt name -1, skipped 40",-79.94895790,37.39909317,328.422,Global,0.013,0.015,0.032,0.020,2.134,m,FIX,RTK,2026-05-28 13:56:49.0 UTC-04:00,2026-05-28 13:56:59.0 UTC-04:00,51,2.2,2.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,79.683,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
43,,,593028.230,4139666.704,328.516,node pt name -1,-79.94895440,37.39910995,328.516,Global,0.010,0.012,0.019,0.016,2.134,m,FIX,RTK,2026-05-28 13:57:16.0 UTC-04:00,2026-05-28 13:57:26.0 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,81.555,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
44,,,593028.669,4139668.702,328.775,node pt name -1,-79.94894920,37.39912791,328.775,Global,0.015,0.015,0.032,0.021,2.134,m,FIX,RTK,2026-05-28 13:57:41.6 UTC-04:00,2026-05-28 13:57:51.6 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,83.581,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
45,,,593029.032,4139670.664,328.905,node pt name -1,-79.94894485,37.39914556,328.905,Global,0.013,0.013,0.022,0.018,2.134,m,FIX,RTK,2026-05-28 13:58:06.2 UTC-04:00,2026-05-28 13:58:16.2 UTC-04:00,51,1.9,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,85.558,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
46,,,593029.797,4139674.554,329.050,node pt name skipped 45,-79.94893572,37.39918054,329.050,Global,0.011,0.013,0.020,0.017,2.134,m,FIX,RTK,2026-05-28 13:59:10.6 UTC-04:00,2026-05-28 13:59:20.6 UTC-04:00,51,2.2,2.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,89.465,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
47,,,593030.196,4139676.653,329.030,node pt name,-79.94893095,37.39919941,329.030,Global,0.012,0.013,0.016,0.017,2.134,m,FIX,RTK,2026-05-28 13:59:51.8 UTC-04:00,2026-05-28 14:00:01.8 UTC-04:00,51,2.0,2.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,91.579,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
48,,,593030.567,4139678.458,329.287,node pt name,-79.94892653,37.39921565,329.287,Global,0.013,0.011,0.029,0.017,2.134,m,FIX,RTK,2026-05-28 14:00:18.8 UTC-04:00,2026-05-28 14:00:28.8 UTC-04:00,51,1.9,2.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,93.422,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
49,,,593030.919,4139680.478,329.465,node pt name,-79.94892229,37.39923381,329.465,Global,0.010,0.011,0.025,0.015,2.134,m,FIX,RTK,2026-05-28 14:00:43.2 UTC-04:00,2026-05-28 14:00:53.2 UTC-04:00,51,1.7,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,95.474,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
50,,,593031.243,4139682.439,329.563,node pt name,-79.94891839,37.39925146,329.563,Global,0.012,0.015,0.024,0.019,2.134,m,FIX,RTK,2026-05-28 14:01:03.2 UTC-04:00,2026-05-28 14:01:13.2 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,97.471,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
51,,,593031.716,4139684.386,329.696,node pt name,-79.94891280,37.39926896,329.696,Global,0.010,0.013,0.017,0.016,2.134,m,FIX,RTK,2026-05-28 14:01:39.8 UTC-04:00,2026-05-28 14:01:40.6 UTC-04:00,5,2.0,2.4,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,99.444,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
