Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
45,,,,,,node pt name -1,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 13:58:06.2 UTC-04:00,2026-05-28 13:58:16.2 UTC-04:00,51,1.9,2.2,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,85.558,,WGS 84 / UTM zone 17N,8,6,7,7,0,Reach RS2+,82438197435961DD
46,,,,,,node pt name skipped 45,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 13:59:10.6 UTC-04:00,2026-05-28 13:59:20.6 UTC-04:00,51,2.2,2.7,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,89.465,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
47,,,,,,node pt name,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 13:59:51.8 UTC-04:00,2026-05-28 14:00:01.8 UTC-04:00,51,2.0,2.5,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,91.579,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
48,,,,,,node pt name,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:00:18.8 UTC-04:00,2026-05-28 14:00:28.8 UTC-04:00,51,1.9,2.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,93.422,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
49,,,,,,node pt name,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:00:43.2 UTC-04:00,2026-05-28 14:00:53.2 UTC-04:00,51,1.7,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,95.474,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
50,,,,,,node pt name,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:01:03.2 UTC-04:00,2026-05-28 14:01:13.2 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,97.471,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
51,,,,,,node pt name,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:01:39.8 UTC-04:00,2026-05-28 14:01:40.6 UTC-04:00,5,2.0,2.4,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,99.444,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
52,,,,,,node pt name,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:01:42.0 UTC-04:00,2026-05-28 14:01:52.0 UTC-04:00,51,1.9,2.3,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,99.410,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
53,,,,,,node pt name -1 somehow got off previously,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:02:35.0 UTC-04:00,2026-05-28 14:02:45.0 UTC-04:00,51,1.6,1.9,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,101.307,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
54,,,,,,node pt 53,-nan,-nan,-nan,Global,,,,,2.134,m,FIX,RTK,2026-05-28 14:03:09.4 UTC-04:00,2026-05-28 14:03:19.4 UTC-04:00,51,1.8,2.1,593025.047,4139585.454,324.858,-79.94900060,37.39837802,324.858,103.367,,WGS 84 / UTM zone 17N,8,6,8,7,0,Reach RS2+,82438197435961DD
